system_id,entry_pdb_id,ligand_instance_chain,ligand_smiles,sucos_shape_pocket_qcov,prb_bin,formal_charge,charge_bucket,is_charged,hbd,hba,hb_sum,ligand_tpsa,hac,hac_bucket,A_elec,A_hb,A_desolv,ligand_molecular_weight,ligand_num_rot_bonds,ligand_num_rings,ligand_num_pocket_residues,num_training_systems_with_similar_ccds,cluster
7nah__1__1.A__1.C,7nah,1.C,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H]([n+]3ccc4cc[nH]c(=O)c4c3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,8.251175090897645,0-20,1,pos,True,9,21,30,308.03,46,large,True,True,True,688.1163982560901,10,6,20,10,c158
8ixq__1__1.B__1.E,8ixq,1.E,C[N+](C)(C)[C@@H](Cc1c[nH]c(=S)[nH]1)C(=O)O,0.0,0-20,1,pos,True,3,5,8,68.88,15,frag,True,True,True,230.09577417209,4,1,15,4,c475
7nai__1__1.A__1.C,7nai,1.C,Nc1cccc2cc[n+]([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]4O[C@@H](n5cnc6c(N)ncnc65)[C@H](O)[C@@H]4O)[C@@H](O)[C@H]3O)cc12,8.21073133054389,0-20,1,pos,True,10,20,30,301.19,46,large,True,True,True,686.1371337000902,10,6,22,10,c158
8pfl__1__1.A__1.C,8pfl,1.C,CCc1c(N2CCN(C(=O)c3ncccc3O)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1C,4.331234352354144,0-20,0,neu,False,2,13,15,147.19,48,large,True,True,True,666.252600816,7,6,38,0,c905
8goy__1__1.A_1.B__1.E,8goy,1.E,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(C(=O)O)cnn2C)n1,0.0,0-20,0,neu,False,3,13,16,174.63,26,drug,True,True,True,386.064467788,6,2,22,0,c802
7x11__1__1.D__1.P,7x11,1.P,CCCc1nc2c(C)ccn(Cc3ccc4nc(-c5ccccc5-c5nnn[nH]5)sc4c3)c-2n1,13.340017336625802,0-20,0,neu,False,1,8,9,98.06,34,drug,True,True,True,466.1688137040002,6,6,26,0,c422
7yoq__1__1.B__1.D,7yoq,1.D,Nc1ccn(-c2oc(COP(=O)(O)O)c(O)c2O)c(=O)n1,17.660888926463162,0-20,0,neu,False,6,11,17,181.27,21,drug,True,True,True,319.02055091,4,2,14,0,c645
7z5u__1__1.A__1.B_1.C,7z5u,1.C,CC(=O)Nc1ccccc1OCc1cn(CCNC(=O)[C@@H](CC(C)C)C(=O)NO)nn1,17.009377522930162,0-20,0,neu,False,4,11,15,147.47000000000003,31,drug,True,True,True,432.212117996,11,2,34,0,c388
8g62__1__1.A__1.F_1.J_1.L,8g62,1.F,COc1cc(C(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)cc(C2CCN(C)CC2)c1,6.652742938083102,0-20,0,neu,False,1,7,8,78.94999999999999,32,drug,True,True,True,457.203527472,6,4,16,0,c975
8tsd__1__1.A__1.C,8tsd,1.C,N#Cc1c(-c2cc(NC(=O)c3cc(F)cc(C(F)(F)F)c3)c3c(c2)C(=O)N[C@H]3c2cc(F)ccc2Cl)ccc2ncnn12,8.552662506392604,0-20,0,neu,False,2,8,10,112.18,43,drug,True,True,True,608.078692468,4,6,36,0,c94
7xxc__1__1.A_1.B_1.D__1.M,7xxc,1.M,NCC(=O)N[C@@H]1[C@H](O)[C@@H](OC(N)=O)[C@@H](CO)O[C@H]1/N=C1\N[C@@H]2[C@H](O)CNC(=O)[C@H]2N1,1.3659642348696952,0-20,0,neu,False,11,15,26,242.88,30,drug,True,True,True,431.17646076000005,5,3,26,0,c511
8wsm__1__1.A__1.D,8wsm,1.D,Cc1ccc(C(F)(F)F)cc1Nc1nc(C(=O)NS(=O)(=O)N2CCCOCC2)co1,8.554153418060151,0-20,0,neu,False,2,9,11,113.77,30,drug,True,True,True,448.1028253679999,5,3,29,0,c658
8sua__1__1.A__1.B,8sua,1.B,NC1(CO)CO[B-]2(OCC(O)CO2)OC1,22.823041946495067,20-30,-1,neg,True,4,7,11,103.40000000000002,15,frag,True,True,True,220.09979117991003,1,2,28,0,c387
8b25__1__1.A_1.B__1.J,8b25,1.J,CC=C1C[N@@H+]2CCc3c([nH]c4ccccc34)[C@@](COC(C)=O)(C(=O)OC)[C@H]1CC2,25.736258488708955,20-30,1,pos,True,2,6,8,72.83,29,drug,True,True,True,397.21218382809,3,5,27,0,c216
8b1v__1__1.A_1.B__1.E,8b1v,1.E,C/C=C1/C=[N+]2CCc3c([nH]c4ccccc34)[C@@](COC(C)=O)(C(=O)OC)[C@H]1CC2,28.238813110453336,20-30,1,pos,True,1,6,7,71.39999999999999,29,drug,True,True,True,395.19653376409,3,5,27,0,c216
7p8m__1__1.A_1.B__1.E_1.F_1.G_1.H,7p8m,1.H,COc1cc(C[S@@+](CC[C@@H](N)C(=O)O)C[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)c([N+](=O)[O-])cc1OC,28.174433364797665,20-30,1,pos,True,7,16,23,244.23,40,drug,True,True,True,580.1820229600901,12,4,41,2,c201
7p84__1__1.A_1.B__1.E_1.F_1.G_1.H,7p84,1.H,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[S+](CC[C@@H](N)C(=O)O)Cc2ccccc2[N+](=O)[O-])[C@@H](O)[C@H]1O,29.682166409875222,20-30,1,pos,True,7,14,21,225.76999999999995,36,drug,True,True,True,520.1608935920899,10,4,52,2,c201
7ef7__1__1.A__1.B_1.C,7ef7,1.C,O=c1[nH]c(=O)c2[nH+]cn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,24.093807577036134,20-30,1,pos,True,7,13,20,201.24,24,drug,True,True,True,365.04929107808994,4,3,31,875,c780
7txk__1__1.A__1.C,7txk,1.C,C[N+](C)(C)[C@@H](Cc1c[nH]c(=S)[nH]1)C(=O)O,23.67298335922198,20-30,1,pos,True,3,5,8,68.88,15,frag,True,True,True,230.09577417209,4,1,34,4,c737
7zbv__1__1.A__1.B_1.E,7zbv,1.E,O=P(O)(O)c1nc2cc(Cl)c(Cl)cc2nc1P(=O)(O)O,25.73441022037636,20-30,0,neu,False,4,8,12,140.84,20,frag,True,True,True,357.907814532,2,2,29,0,c817
7zih__1__1.A__1.B_1.C,7zih,1.C,CCn1c(=O)[nH]c(=O)c2c1nc(Cc1nc3ccccc3[nH]1)n2Cc1ccccc1,29.69056066930816,20-30,0,neu,False,2,8,10,101.36,30,drug,True,True,True,400.16477388,5,5,29,0,c34
7fum__1__1.A__1.C,7fum,1.C,Cc1ccc(-c2cc(C(=O)O)c3[nH]c(CN4CCN(Cc5ccccc5)CC4)nc3c2)c(Cl)c1,20.02494445529296,20-30,0,neu,False,2,6,8,72.46000000000001,34,drug,True,True,True,474.182253784,6,5,30,0,c72
8b9u__1__1.A_1.B__1.C_1.H,8b9u,1.C,CN[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC=O)C(C)C,22.12022709046792,20-30,0,neu,False,4,11,15,143.70999999999998,41,drug,True,True,True,570.3529685720001,15,2,27,0,c451
7pwy__1__1.A_1.B__1.I_1.J,7pwy,1.J,N#Cc1c(-c2cccs2)nc(SCc2cccc(CC(=O)O)c2)[nH]c1=O,29.693320396303413,20-30,0,neu,False,2,6,8,106.84,26,drug,True,True,True,383.039833276,6,3,24,0,c675
8ivs__1__1.A_1.B__1.C,8ivs,1.C,CCOc1nc(NC)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC)n1,25.998915904842622,20-30,0,neu,False,3,12,15,161.5,28,drug,True,True,True,410.100853296,7,2,22,0,c91
8t1q__1__1.A__1.B_1.F_1.G,8t1q,1.B,CC(=O)c1ccc(-c2cccc(NC(=O)CCc3cccc4c3[B-](O)(O)OC4)c2)cc1,33.56835431745206,30-40,-1,neg,True,3,6,9,95.86,31,drug,True,True,True,416.16747681591,6,4,29,0,c986
8am2__1__1.A__1.D,8am2,1.D,C[N+](C)(C)CC(=O)N/N=C/c1cc(CNNC(=O)C[N+](C)(C)C)nc(-c2ccccc2)n1,34.723492302862354,30-40,2,pos,True,3,10,13,108.37,32,drug,True,True,True,442.27937516818,10,2,33,0,c761
8gtm__1__1.A__1.C,8gtm,1.C,COc1cc(Br)cc(OC)c1C1C(C)=N[n+]2c1nc(C)nc2N(CCCC(F)(F)F)CCCC(F)(F)F,33.65210227261061,30-40,1,pos,True,0,7,7,63.720000000000006,37,drug,True,True,True,598.1246829440901,10,3,40,0,c172
